order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-13 15:44:48.134000+00:00,12,14,1
2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-15 15:05:08.496000+00:00,10,14,2
2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-16 21:37:42.423000+00:00,9,14,3
2389088,Facebook Ads,fb,2024-01-26 13:49:02+00:00,2024-01-17 02:49:02.849000+00:00,9,14,4
2389088,Facebook Ads,fb,2024-01-26 13:49:02+00:00,2024-01-17 14:19:25.817000+00:00,8,14,5
2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-18 18:21:39.640000+00:00,7,14,6
2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-19 14:40:44.428000+00:00,6,14,7
2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-20 18:13:10.021000+00:00,5,14,8
2389088,Facebook Ads,fb,2024-01-26 13:49:02+00:00,2024-01-20 18:43:39.953000+00:00,5,14,9
2389088,Facebook Ads,fb,2024-01-26 13:49:02+00:00,2024-01-21 04:17:49.303000+00:00,5,14,10
2389088,Facebook Ads,fb,2024-01-26 13:49:02+00:00,2024-01-24 04:08:15.118000+00:00,2,14,11
2389088,Facebook Ads,fb,2024-01-26 13:49:02+00:00,2024-01-24 20:47:06.727000+00:00,1,14,12
2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-26 13:38:57.333000+00:00,0,14,13
2389088,Unattributed,unattributed,2024-01-26 13:49:02+00:00,2024-01-26 13:49:02+00:00,0,14,14
2389097,Google Ads,adwords,2024-01-26 13:52:40+00:00,2024-01-26 13:44:27.529000+00:00,0,2,1
2389097,Unattributed,unattributed,2024-01-26 13:52:40+00:00,2024-01-26 13:52:40+00:00,0,2,2
